Symbol,Price,Type,Time
DOLF20,4067.0,BID,09:01:57.65353
DOLF20,4069.0,BID,09:01:57.428670
DOLF20,4067.0,BID,09:01:57.429053
DOLF20,4068.0,BID,09:01:57.594875
DOLF20,4067.0,BID,09:01:57.595002
DOLF20,4068.0,BID,09:01:57.868480
DOLF20,4067.0,BID,09:01:57.868607
DOLF20,4068.0,BID,09:01:57.869189
DOLF20,4067.0,BID,09:01:57.869316
DOLF20,4068.0,BID,09:01:58.639480
DOLF20,4067.0,BID,09:01:58.639611
DOLF20,4068.0,BID,09:01:58.976477
DOLF20,4067.0,BID,09:01:58.976607
DOLF20,4068.0,BID,09:01:58.981029
DOLF20,4067.0,BID,09:01:58.981242
DOLF20,4067.0,ASK,09:02:01.362296
DOLF20,4068.0,ASK,09:02:01.362601
DOLF20,4068.0,BID,09:02:01.872480
DOLF20,4067.0,BID,09:02:01.873053
DOLF20,4067.0,ASK,09:02:02.288014
DOLF20,4068.0,ASK,09:02:02.678597
DOLF20,4068.0,BID,09:02:02.819243
DOLF20,4067.0,BID,09:02:02.819457
DOLF20,4068.0,BID,09:02:03.63483
DOLF20,4067.0,BID,09:02:03.63610
DOLF20,4068.0,BID,09:02:03.563396
DOLF20,4067.0,BID,09:02:03.563876
DOLF20,4067.0,ASK,09:02:06.396487
DOLF20,4068.0,ASK,09:02:06.396617
DOLF20,4067.0,ASK,09:02:06.398487
DOLF20,4068.0,ASK,09:02:06.398702
DOLF20,4066.0,BID,09:02:06.398739
DOLF20,4067.0,ASK,09:02:07.90816
DOLF20,4067.0,BID,09:02:08.415463
DOLF20,4066.0,BID,09:02:08.415680
DOLF20,4067.0,BID,09:02:08.785485
DOLF20,4066.0,BID,09:02:08.785700
DOLF20,4067.0,BID,09:02:10.905382
DOLF20,4066.0,BID,09:02:10.905873
DOLF20,4067.0,BID,09:02:10.907993
DOLF20,4066.0,BID,09:02:10.908220
DOLF20,4067.0,BID,09:02:12.524417
DOLF20,4066.0,BID,09:02:12.524545
DOLF20,4067.0,BID,09:02:12.585494
DOLF20,4066.0,BID,09:02:12.585714
DOLF20,4052.0,ASK,09:02:12.703194
DOLF20,4067.0,ASK,09:02:12.703412
DOLF20,4067.0,BID,09:02:13.529737
DOLF20,4066.0,BID,09:02:13.530045
DOLF20,4067.0,BID,09:02:14.717157
DOLF20,4066.0,BID,09:02:14.717375
DOLF20,4067.0,BID,09:02:14.718956
DOLF20,4066.0,BID,09:02:15.10106
